,artist,num_songs,num_weeks_on_charts,earliest_date
1721,Inner Circle,5,58,1993-05-01
1722,Sam Salter,2,28,1997-08-23
1723,7 Mile,1,19,1998-04-25
1724,EOL,1,6,1998-07-11
1725,Olivia Newton-John,31,408,1971-05-29
1726,Playa,2,35,1997-11-15
1727,The Verve,1,20,1998-03-28
1728,Dionne Warwick And The Hip-Hop Nation United,1,2,1998-08-01
1729,Heather B.,1,2,1998-08-01
1730,All City,1,4,1998-07-11
1731,Rebekah,1,6,1998-06-20
1732,Loreena McKennitt,1,20,1998-03-07
1733,Canibus,1,15,1998-04-11
1734,Sister 7,1,7,1998-05-30
1735,S.O.A.P.,1,12,1998-04-18
1736,Baby Talk,1,6,1998-05-30
1737,The Kenny Wayne Shepherd Band,1,10,1998-05-02
1738,Deja Vu,1,17,1998-03-14
1739,Salt-N-Pepa,9,188,1987-11-21
1740,SWV,11,201,1993-01-02
1741,Christion,2,22,1997-04-26
1742,She Moves,2,35,1997-11-08
1743,Wyclef Jean,1,20,1998-02-07
1744,INOJ/LATHUN,1,20,1998-02-07
1745,Jimmy Ray,1,18,1998-02-21
1746,Dakota Moon,1,13,1998-03-21
1747,Lisa Loeb,2,29,1997-11-01
1748,Smooth,2,25,1995-06-24
1749,Davina,2,28,1997-11-01
1750,Blair,1,4,1998-05-23
1751,Billie Myers,1,31,1997-11-08
1752,Rockell,2,38,1996-11-09
1753,Daze,1,3,1998-05-23
1754,Mark Morrison,2,47,1997-03-01
1755,David Kersh,1,16,1998-02-14
1756,Keith Washington,2,26,1991-05-25
1757,M:G,1,5,1998-05-02
1758,Militia,1,20,1998-01-10
1759,Michael W. Smith,5,64,1991-05-04
1760,The Tuesdays,1,10,1998-03-21
1761,Elusion,1,11,1998-03-14
1762,Mono,1,15,1998-02-14
1763,Rufus Blaq,1,4,1998-05-02
1764,Innerlude,1,2,1998-05-16
1765,Uncle Sam,1,28,1997-11-08
1766,Jody Watley,12,168,1987-03-07
1767,Somethin' For The People,2,13,1996-08-24
1768,Brooklyn Bounce,1,4,1998-04-11
1769,Meredith Brooks,2,40,1997-04-26
1770,The Lox,1,13,1998-02-07
1771,Robyn,2,52,1997-05-31
1772,KAI,1,19,1997-12-20
1773,WC From Westside Connection,1,20,1997-12-13
1774,Lutricia McNeal,1,16,1998-01-03
1775,Alana Davis,1,20,1997-12-06
1776,Chumbawamba,1,31,1997-09-13
1777,The Notorious B.I.G.,5,103,1994-08-27
1778,Born Jamericans,2,14,1994-01-29
1779,Kim Sanders,1,10,1998-01-31
1780,Daryle Singletary,1,6,1998-02-28
1781,Aqua,2,33,1997-09-06
1782,Fruit De La Passion,1,8,1998-02-07
1783,Phajja,1,5,1998-02-21
1784,LSG,1,20,1997-11-01
1785,Big Punisher,1,20,1997-11-01
1786,Kinsu,1,8,1998-01-24
1787,Kimberly Scott,1,14,1997-12-13
1788,Lysette,1,10,1998-01-10
1789,Olive,1,20,1997-10-25
1790,Chucklebutt,1,6,1998-01-31
1791,Sammy Kershaw,1,5,1997-12-27
1792,Los Umbrellos,1,27,1997-08-30
1793,Bone Thugs-N-Harmony,6,113,1994-09-17
1794,Gary Barlow,1,20,1997-10-18
1795,Gang Starr,2,24,1994-03-05
1796,Diana King,4,68,1995-04-01
1797,H-Town,5,91,1993-04-10
1798,Shawn Colvin,1,32,1997-07-12
1799,Fiona Apple,1,20,1997-10-04
1800,Spacemonkeyz,1,4,1998-01-24
1801,Bee Gees,43,516,1967-05-27
1802,BeBe Winans,1,12,1997-11-22
1803,Sneaker Pimps,2,35,1997-05-03
1804,Naughty By Nature,8,120,1991-09-07
1805,The Prodigy,2,27,1997-01-18
1806,Sublime,1,7,1997-12-20
1807,Billy Lawrence,2,11,1994-07-30
1808,Imani Coppola,1,20,1997-09-13
1809,DJ Company,1,19,1997-06-14
1810,Insane Clown Posse,1,5,1997-12-27
1811,Milestone,1,20,1997-08-30
1812,Mack 10,2,31,1995-06-24
1813,4.0,1,20,1997-08-23
1814,Ultra Nate,1,19,1997-08-23
1815,Yvette Michele,3,31,1996-02-03
1816,The O'Jays,29,252,1963-09-14
1817,Duncan Sheik,1,55,1996-11-30
1818,Mr. President,1,20,1997-08-02
1819,Rome,2,46,1997-03-15
1820,Peach Union,1,13,1997-09-20
1821,The Verve Pipe,1,42,1997-02-22
1822,3rd Party,2,31,1997-05-03
1823,Magoo And Timbaland,1,20,1997-07-19
1824,No Mercy,4,80,1996-07-06
1825,Jamiroquai,1,8,1997-10-11
1826,EPMD,2,23,1992-07-25
1827,Lost Boyz,6,78,1995-05-13
1828,Forest For The Trees,1,3,1997-11-01
1829,Natalie Cole,18,254,1975-08-30
1830,Lorrie Morgan,1,6,1997-10-04
1831,"10,000 Maniacs",8,97,1988-05-07
1832,Dana,1,11,1997-08-30
1833,Immature,6,82,1994-07-30
1834,Sons Of Funk,1,2,1997-10-25
1835,Michael Bolton,18,306,1983-05-14
1836,Abra Moore,1,13,1997-07-19
1837,Billy Joel,41,588,1974-02-23
1838,Laurnea,1,15,1997-06-28
1839,Lisa Stansfield,6,95,1990-02-03
1840,Raybon Bros.,1,17,1997-06-14
1841,Queen Latifah,4,48,1993-11-27
1842,Wild Orchid,3,41,1996-09-28
1843,Samantha Cole,1,5,1997-08-30
1844,Michael Peterson,1,7,1997-08-09
1845,Tony Toni Tone,10,152,1988-05-28
1846,Ivory,1,5,1997-08-16
1847,Adina Howard,3,47,1995-02-11
1848,Angelina,4,50,1996-03-23
1849,Richard Marx,16,304,1987-06-13
1850,Brownstone,4,71,1994-12-10
1851,Le Click,2,45,1995-07-22
1852,Corina,3,49,1991-05-18
1853,The Lemonheads,2,29,1993-11-13
1854,Gina G,2,41,1996-11-30
1855,Freak Nasty,1,33,1997-01-04
1856,Jocelyn Enriquez,3,54,1994-04-02
1857,Suga Free,1,13,1997-05-24
1858,Shades,2,24,1996-08-03
1859,White Town,1,20,1997-03-29
1860,Real McCoy,5,124,1994-08-27
1861,Kenny Lattimore,2,24,1996-07-20
1862,Faithless,1,19,1997-03-29
1863,Damage,1,4,1997-07-05
1864,Warren G,3,52,1994-07-23
1865,Westside Connection,2,40,1996-09-28
1866,Gyrl,1,5,1997-06-21
1867,Jon Secada,8,187,1992-04-18
1868,Hev-D,1,19,1997-03-08
1869,Erasure,6,81,1988-07-30
1870,Joose,1,17,1997-03-22
1871,KRS-One,3,30,1994-02-05
1872,Leschea,1,2,1997-06-14
1873,Luscious Jackson,1,26,1996-12-21
1874,DJ Kool,1,20,1997-02-01
1875,Robin S.,3,52,1993-04-03
1876,The Brand New Heavies,2,16,1994-03-19
1877,Tracey Lee,1,18,1997-02-15
1878,Livin' Joy,2,39,1995-01-28
1879,Leah Andreone,1,20,1997-01-25
1880,Richie Rich,2,28,1996-11-30
1881,Zhane,5,91,1993-08-28
1882,Crystal Waters,4,80,1991-05-04
1883,Teddy Pendergrass,8,81,1977-05-21
1884,Tasha Holiday,1,5,1997-04-19
1885,Eric Clapton,17,247,1970-10-17
1886,Redman,3,23,1995-02-25
1887,Funky Green Dogs,1,14,1997-02-08
1888,The Blackout Allstars,1,22,1996-12-07
1889,Quad City DJ's,2,62,1996-03-16
1890,Camp Lo,1,17,1997-01-04
1891,Merril Bainbridge,2,36,1996-09-07
1892,Tre,1,10,1997-02-15
1893,Peggy Scott-Adams,1,4,1997-03-29
1894,The Roots,1,15,1997-01-11
1895,MC Lyte,3,45,1992-03-07
1896,Alfonzo Hunter,2,13,1996-11-02
1897,The Cranberries,3,64,1993-10-23
1898,Donna Lewis,2,56,1996-06-22
1899,Journey,25,352,1978-04-08
1900,The Isley Brothers,37,320,1959-09-21
1901,dc Talk,1,19,1996-11-16
1902,Az Yet,1,29,1996-08-24
1903,Dishwalla,1,48,1996-04-06
1904,Republica,2,23,1996-08-10
1905,The Chemical Brothers,1,5,1997-01-25
1906,Love Tribe,1,5,1997-01-25
1907,K5,1,3,1997-02-08
1908,QT,1,4,1997-02-01
1909,Goodfellaz,1,10,1996-12-14
1910,Susanna Hoffs,2,23,1991-02-02
1911,Brady Seals,1,4,1997-01-25
1912,Los Del Rio,3,85,1995-09-02
1913,The Braids,1,17,1996-10-19
1914,Amanda Marshall,1,20,1996-09-28
1915,Bryan Adams,21,359,1982-03-13
1916,The Original,1,16,1996-10-19
1917,The Tony Rich Project,3,70,1995-12-16
1918,The Wonders,1,15,1996-10-12
1919,Mista,2,21,1996-06-29
1920,Johnny Gill,6,87,1990-05-12
1921,Crush,1,21,1996-08-17
1922,Tracy Chapman,5,80,1988-06-04
1923,dog's eye view,1,14,1996-09-28
1924,Gin Blossoms,4,110,1993-07-24
1925,T-Boz,1,20,1996-08-10
1926,Enigma,3,47,1991-02-09
1927,For Real,2,12,1994-10-15
1928,Tina Turner,16,235,1984-01-21
1929,RuPaul,2,25,1993-02-13
1930,Gina Thompson,1,20,1996-07-13
1931,Qkumba Zoo,1,7,1996-10-12
1932,Katalina,1,11,1996-09-14
1933,Fun Factory,4,56,1995-03-18
1934,The 2 Live Crew,3,58,1989-09-09
1935,Sting,15,205,1985-06-08
1936,Jann Arden,1,40,1996-02-10
1937,Natalie Merchant,3,89,1995-08-05
1938,Mindy McCready,1,9,1996-08-31
1939,Southsyde B.O.I.Z.,1,2,1996-10-19
1940,Tom Petty And The Heartbreakers,17,196,1977-11-05
1941,Groove Theory,3,56,1995-08-26
1942,Vanessa Williams,12,191,1988-07-23
1943,Charm Farm,1,4,1996-09-21
1944,The Braxtons,1,8,1996-08-03
1945,All-4-One,5,116,1994-01-01
1946,CeCe Peniston,9,123,1991-09-28
1947,Coolio,4,79,1994-06-04
1948,Los Del Mar,1,15,1996-06-22
1949,Dru Down,2,21,1994-12-24
1950,Sir Mix-A-Lot,3,40,1988-12-17
1951,Lina Santiago,2,28,1996-01-27
1952,Robert Miles,1,20,1996-05-11
1953,Jars Of Clay,1,19,1996-05-18
1954,Crucial Conflict,1,20,1996-05-11
1955,The Badlees,1,11,1996-07-06
1956,Jodeci,11,207,1991-10-26
1957,Goodie Mob,3,32,1995-10-14
1958,Delinquent Habits,1,20,1996-04-27
1959,Kristine W,1,15,1996-06-01
1960,Everything But The Girl,2,65,1995-08-12
1961,Nathan Morris,1,5,1996-07-27
1962,Gravity Kills,1,20,1996-04-13
1963,The Cure,14,131,1986-02-15
1964,Spacehog,1,20,1996-04-06
1965,Men Of Vizion,1,11,1996-06-01
1966,Horace Brown,2,13,1996-03-30
1967,Puff Johnson,1,13,1996-05-18
1968,Luke,2,30,1992-03-21
1969,Sadat X,1,2,1996-07-27
1970,Jordan Hill,2,18,1995-07-08
1971,BoDeans,1,20,1996-03-09
1972,Mona Lisa,1,5,1996-06-22
1973,Billie Ray Martin,1,23,1995-04-01
1974,Nonchalant,1,20,1996-03-02
1975,Tina Arena,1,12,1996-04-20
1976,Chantay Savage,2,34,1993-12-18
1977,Kris Kross,6,92,1992-04-04
1978,Voice Of The Beehive,2,15,1991-11-02
1979,Artie The 1 Man Party,2,33,1995-09-30
1980,Art N' Soul,1,14,1996-03-16
1981,The Presidents Of The United States Of America,1,14,1996-03-09
1982,Seven Mary Three,1,20,1996-01-20
1983,Shai,7,130,1992-10-17
1984,Blues Traveler,2,83,1995-03-25
1985,A Few Good Men,1,10,1996-03-23
1986,3T,1,33,1995-10-07
1987,Fugees,2,36,1994-07-02
1988,N-Trance,1,17,1996-01-20
1989,Rappin' 4-Tay,2,32,1994-09-24
1990,Buffy,1,9,1996-03-16
1991,Sophie B. Hawkins,4,89,1992-04-18
1992,Joan Osborne,1,22,1995-12-09
1993,The Beatles,65,585,1964-01-18
1994,Pure Soul,2,19,1995-08-05
1995,Frost,2,23,1995-10-28
1996,The Pharcyde,3,35,1993-05-01
1997,Deep Blue Something,1,36,1995-08-19
1998,Folk Implosion,1,20,1995-12-09
1999,Shawn Stockman,1,15,1996-01-13
2000,Planet Soul,1,26,1995-10-21
2001,Domino,3,45,1993-11-27
2002,Big Sister,1,2,1996-04-06
2003,L.A.D.,1,20,1995-11-18
2004,Heltah Skeltah And O.G.C. As The Fab 5,1,8,1996-02-03
2005,Max-A-Million,3,52,1995-02-04
2006,Terry Ellis,1,20,1995-11-04
2007,Soul Asylum,3,45,1993-06-12
2008,Devone,1,9,1996-01-20
2009,Del Amitri,3,64,1990-05-19
2010,Selena,1,20,1995-10-28
2011,Meat Loaf,9,126,1978-03-18
2012,Big Mountain,4,67,1993-04-10
2013,Take That,1,30,1995-08-12
2014,Def Leppard,19,295,1983-03-12
2015,L.V.,1,16,1995-11-18
2016,The Mighty Dub Katz,1,20,1995-10-14
2017,Blahzay Blahzay,1,20,1995-10-07
2018,Kool G Rap,1,12,1995-12-02
2019,The Rembrandts,4,57,1991-02-09
2020,The Outhere Brothers,1,20,1995-09-30
2021,Raekwon,1,18,1995-10-14
2022,The Click,1,13,1995-11-11
2023,Method Man,3,32,1994-11-12
2024,Quincy Jones Introducing Tamia,1,4,1995-12-30
2025,Capleton,2,24,1995-02-04
2026,Edwyn Collins,1,9,1995-10-28
2027,The Rentals,1,3,1995-12-09
2028,The Dove Shack,1,20,1995-08-12
2029,Tyler Collins,4,35,1990-04-28
2030,Genius/GZA,1,7,1995-10-28
2031,Sponge,1,18,1995-08-12
2032,Intro,2,23,1993-09-04
2033,Onyx,4,31,1993-04-03
2034,Shaggy,2,46,1993-08-14
2035,After 7,8,150,1989-10-21
2036,Redman/Method Man,1,15,1995-08-26
2037,Junior M.A.F.I.A.,1,20,1995-07-22
2038,Erick Sermon,2,16,1993-10-02
2039,Luniz,1,25,1995-06-10
2040,AZ,1,20,1995-07-15
2041,Das EFX,3,42,1992-05-09
2042,MoKenStef,1,23,1995-06-17
2043,Scatman John,1,13,1995-08-19
2044,Masta Ace Incorporated,3,44,1994-03-12
2045,Skee-Lo,1,27,1995-04-29
2046,Soul For Real,2,51,1995-01-07
2047,BLACKstreet,4,67,1994-06-25
2048,The Bucketheads,1,18,1995-07-01
2049,Bruce Hornsby,2,20,1993-10-09
2050,Chris Isaak,2,44,1990-12-01
2051,Dionne Farris,1,38,1995-01-28
2052,Rusted Root,1,7,1995-09-02
2053,Twinz,1,9,1995-08-19
2054,Patra,2,26,1994-04-30
2055,Matthew Sweet,1,20,1995-05-27
2056,Perfect Stranger,1,10,1995-08-05
2057,Cyndi Lauper,14,198,1983-12-17
2058,Super Cat,1,1,1995-10-07
2059,Nicki French,1,27,1995-04-01
2060,Martin Page,2,42,1994-12-17
2061,Amy Grant,10,162,1985-05-18
2062,Letters To Cleo,2,16,1995-03-25
2063,Jeff Carson,1,2,1995-09-16
2064,Crooklyn Dodgers '95,1,2,1995-09-16
2065,Elastica,2,29,1995-03-25
2066,Tony Thompson,1,16,1995-05-27
2067,Chef Raekwon,1,9,1995-07-15
2068,Alison Krauss + Union Station,1,18,1995-05-13
2069,Corona,2,44,1994-11-12
2070,Vybe,1,5,1995-08-05
2071,Kut Klose,1,20,1995-04-15
2072,U.N.V.,2,33,1993-06-05
2073,Ol' Dirty Bastard,2,31,1995-02-25
2074,Ini Kamoze,2,35,1994-09-17
2075,Nuttin' Nyce,3,23,1993-08-14
2076,Yaki-Da,1,11,1995-06-03
2077,Grand Puba,2,23,1992-10-17
2078,Portrait,2,28,1992-11-14
2079,Raphael Saadiq,1,20,1995-03-25
2080,Adam Ant,5,77,1982-11-13
2081,Jill Sobule,1,11,1995-05-27
2082,Jamie Walters,1,27,1995-01-28
2083,Dr. Dre,4,85,1993-01-30
2084,Aaron Neville,6,64,1966-12-03
2085,New Order,6,62,1987-10-24
2086,Rednex,1,20,1995-03-11
2087,IV Xample,1,20,1995-03-11
2088,Stevie B,11,174,1988-04-23
2089,SF Spanish Fly,1,6,1995-06-10
2090,Subway,1,4,1995-06-24
2091,Firehouse,7,112,1991-03-09
2092,Des'ree,2,55,1994-09-03
2093,Foreigner,22,337,1977-03-26
2094,Gillette,1,18,1995-03-04
2095,Roula,1,15,1995-03-25
2096,K7,3,56,1993-09-04
2097,Keith Martin,1,16,1995-03-04
2098,The Human League,8,119,1982-03-06
2099,95 South,2,43,1993-05-01
2100,Bonnie Raitt,10,131,1977-05-21
2101,K-Ci Hailey,1,16,1995-02-18
2102,DJ Quik,3,30,1991-08-24
2103,Juliana Hatfield,1,6,1995-04-22
2104,Fabu,1,2,1995-05-20
2105,General Public,3,41,1984-11-17
2106,John Waite,10,105,1984-06-23
2107,Craig Mack,2,45,1994-08-13
2108,Londonbeat,3,39,1991-02-09
2109,2 Unlimited,2,54,1992-06-13
2110,Keith Murray,2,28,1994-10-22
2111,Shabba Ranks,2,28,1992-06-13
2112,The Flaming Lips,1,20,1994-12-17
2113,Barry White,15,175,1973-04-14
2114,Jade,6,125,1992-07-11
2115,4PM,1,32,1994-09-17
2116,Channel Live,1,12,1995-02-04
2117,Scarface Feat. Ice Cube,1,7,1995-03-11
2118,N2U,1,20,1994-12-03
2119,Simple Minds,6,88,1985-02-23
2120,Nine,1,17,1994-12-24
2121,Andru Donalds,1,19,1994-12-10
2122,Portishead,1,9,1995-02-11
2123,Willi One Blood,1,11,1995-01-21
2124,Jewell,1,9,1995-01-28
2125,Vicious,1,11,1995-01-14
2126,Karyn White,7,116,1988-10-15
2127,Freedy Johnston,1,12,1994-12-24
2128,Scarface,2,21,1993-08-07
2129,Pretenders,10,146,1980-02-16
2130,Fu-Schnickens,1,20,1994-10-22
2131,"Harry Connick, Jr.",1,20,1994-10-22
2132,Group Home,1,5,1995-02-04
2133,Deadeye Dick,1,27,1994-08-27
2134,Aimee Mann,1,6,1995-01-21
2135,B.M.U. (Black Men United),1,20,1994-10-08
2136,The 4 Seasons,23,232,1962-08-25
2137,Toad The Wet Sprocket,4,82,1992-06-27
2138,Jeff Foxworthy,1,10,1994-12-10
2139,Lords Of The Underground,4,52,1993-03-27
2140,Lucas,1,19,1994-10-01
2141,Shaquille O'Neal,3,42,1993-10-23
2142,Candlebox,2,41,1994-03-19
2143,The Murmurs,1,7,1994-12-17
2144,Urge Overkill,1,11,1994-11-19
2145,Mazzy Star,1,20,1994-09-03
2146,"Tag Team, Mickey, Minnie, And Goofy",1,1,1995-01-14
2147,The Tractors,1,1,1995-01-07
2148,Steve Perry,6,87,1984-04-07
2149,Joshua Kadison,3,52,1993-10-09
2150,C+C Music Factory,4,67,1990-11-17
2151,Slick Rick,1,3,1994-11-26
2152,Mad Lion,1,20,1994-07-30
2153,Sass Jordan,1,3,1994-11-19
2154,The Juliana Hatfield 3,1,2,1994-11-19
2155,Digable Planets,2,27,1993-01-16
2156,Wet Wet Wet,2,28,1988-05-28
2157,Da Youngsta's,1,9,1994-09-24
2158,The Tokens,12,93,1961-03-06
2159,Tanya Blount,1,6,1994-10-08
2160,Love Spit Love,1,10,1994-09-10
2161,DJ Miko,1,20,1994-06-18
2162,Whitehead Bros.,1,10,1994-08-27
2163,Meat Puppets,1,20,1994-06-11
2164,The Puppies,1,17,1994-07-02
2165,The Lady Of Rage,1,11,1994-08-13
2166,The Jesus And Mary Chain,1,2,1994-10-15
2167,Public Enemy,2,29,1991-10-19
2168,Ahmad,1,20,1994-05-28
2169,Edie Brickell,1,8,1994-08-20
2170,Blur,2,21,1992-01-11
2171,Blackgirl,2,16,1994-02-12
2172,PMD,1,3,1994-09-10
2173,Spin Doctors,5,71,1992-10-17
2174,Miranda,1,14,1994-06-18
2175,Crash Test Dummies,3,40,1991-10-05
2176,Cause And Effect,3,37,1992-02-29
2177,House Of Pain,4,47,1992-06-27
2178,Rayvon,1,4,1994-08-06
2179,Atlantic Starr,10,135,1982-03-27
2180,Gravediggaz,1,7,1994-07-09
2181,M People,1,16,1994-05-07
2182,Roxette,12,191,1989-02-11
2183,Stevie Nicks,11,139,1982-02-20
2184,Kathy Troccoli,2,26,1992-02-22
2185,Boston,10,125,1976-09-18
2186,M.C. Hammer,10,159,1990-04-28
2187,The Crooklyn Dodgers,1,12,1994-05-21
2188,Jamie Foxx,1,2,1994-07-30
2189,H-Town/Al B. Sure!,1,16,1994-04-16
2190,Arrested Development,5,87,1992-04-11
2191,FRENTE!,1,15,1994-04-23
2192,Pink Floyd,5,61,1973-05-19
2193,Gabrielle,2,42,1993-10-09
2194,King Just,1,5,1994-07-02
2195,E-40,1,2,1994-07-16
2196,Ovis,1,13,1994-04-23
2197,The B.C. 52's,1,8,1994-05-21
2198,Sudden Change,1,17,1994-03-12
2199,Cracker,1,13,1994-04-09
2200,The Conscious Daughters,1,15,1994-03-19
2201,Black Moon,2,16,1993-02-27
2202,Morrissey,1,15,1994-03-19
2203,Smif-N-Wessun,1,5,1994-05-28
2204,Wu-Tang Clan,2,30,1993-10-09
2205,Lighter Shade Of Brown,3,57,1991-11-30
2206,Juliet Roberts,1,14,1994-03-19
2207,The Sounds Of Blackness,1,3,1994-06-04
2208,Snoop Doggy Dogg,1,20,1994-01-29
2209,Rosco Martinez,1,10,1994-04-02
2210,2 In A Room,2,28,1990-10-06
2211,I To I,1,8,1994-04-16
2212,US3,1,27,1993-11-27
2213,12 Gauge,1,21,1994-01-08
2214,Eternal,1,20,1994-01-15
2215,Sweet Sable,1,3,1994-05-14
2216,Danzig,1,15,1994-02-12
2217,Simple E,1,6,1994-04-16
2218,Dawn Penn,1,12,1994-02-26
2219,Expose,12,208,1987-01-24
2220,The Knack,6,61,1979-06-23
2221,James,1,13,1994-02-05
2222,Little Texas,3,42,1993-08-07
2223,Bryan Adams/Rod Stewart/Sting,1,22,1993-11-27
2224,Jimmy Cliff,3,39,1969-12-06
2225,Heart,29,426,1976-04-17
2226,Sagat,1,17,1994-01-01
2227,The Breeders,1,20,1993-12-04
2228,Shyheim,1,6,1994-03-05
2229,Deep Forest,1,8,1994-02-26
2230,Collage,1,20,1993-11-27
2231,Haddaway,2,42,1993-08-28
2232,Tag Team,2,48,1993-05-29
2233,Mr. Big,5,77,1977-03-05
2234,Culture Beat,1,20,1993-11-06
2235,Lisette Melendez,3,54,1991-02-02
2236,MeShell Ndegeocello,1,6,1994-02-05
2237,To Be Continued...,1,7,1994-01-22
2238,DRS,1,20,1993-10-16
2239,NKOTB,2,19,1992-02-22
2240,Hi-Five,7,113,1991-02-23
2241,Doug Stone,1,9,1994-01-01
2242,The Goodmen,1,14,1993-11-27
2243,Johnny O,1,5,1994-01-29
2244,UB40,7,159,1984-01-28
2245,Jeru The Damaja,1,4,1994-01-29
2246,Rozalla,2,27,1992-06-27
2247,Lisa Keith,2,23,1993-08-21
2248,Mista Grimm,1,20,1993-09-25
2249,Kate Bush,3,30,1979-02-17
2250,Blind Melon,1,23,1993-08-21
2251,Rick Astley,9,134,1987-12-19
2252,Souls Of Mischief,1,9,1993-11-13
2253,Nightcrawlers,1,15,1993-10-02
2254,Taylor Dayne,10,199,1987-10-10
2255,Reality,1,10,1993-10-30
2256,RAab,1,11,1993-10-16
2257,Bell Biv DeVoe,6,103,1990-04-07
2258,MC Ren,1,4,1993-12-04
2259,Clive Griffin,1,3,1993-11-20
2260,Tears For Fears,9,134,1983-08-06
2261,Celine Dion And Clive Griffin,1,20,1993-07-17
2262,Dino,8,127,1988-07-16
2263,Lonnie Gordon,2,8,1991-08-31
2264,Illegal,1,2,1993-10-23
2265,The Proclaimers,1,20,1993-06-12
2266,Fu-Schnickens W/ Shaquille O'Neal,1,17,1993-07-03
2267,Yo-Yo,1,12,1993-07-31
2268,4 Non Blondes,1,26,1993-04-24
2269,Terence Trent D'Arby,5,73,1987-10-24
2270,De La Soul,2,22,1989-06-03
2271,Duice,1,40,1993-01-09
2272,Daryl Hall,4,38,1986-08-02
2273,Peter Cetera,6,86,1986-06-07
2274,Darden Smith,1,2,1993-10-02
2275,MC Eiht,1,8,1993-08-14
2276,Stereo MC's,3,46,1991-06-01
2277,Joey Lawrence,2,32,1993-03-06
2278,II D Extreme,1,20,1993-05-15
2279,Levert,3,46,1987-08-15
2280,Raven-Symone,1,8,1993-08-07
2281,Captain Hollywood Project,1,20,1993-05-01
2282,G-Wiz,1,11,1993-07-03
2283,AC/DC,7,82,1979-10-13
2284,Porno For Pyros,1,10,1993-07-10
2285,Snow,2,42,1993-01-09
2286,The Steve Miller Band,15,169,1968-11-23
2287,M.C. Breed,1,2,1993-08-21
2288,Jordy,1,9,1993-06-19
2289,Geto Boys,2,35,1991-10-05
2290,Jomanda,2,21,1991-07-06
2291,Green Jelly,1,20,1993-03-27
2292,Vanessa Williams/Brian McKnight,1,28,1993-01-23
2293,Jeremy Jordan,2,39,1992-12-12
2294,Tasmin Archer,1,15,1993-04-17
2295,Regina Belle,4,46,1987-07-18
2296,Boy Krazy,2,29,1993-01-23
2297,Boss,1,13,1993-04-24
2298,1 Of The Girls,1,4,1993-06-26
2299,Young Black Teenagers,1,20,1993-03-06
2300,Paperboy,1,30,1992-12-19
2301,Run-D.M.C.,5,67,1986-07-26
2302,Christopher Williams,3,34,1989-09-09
2303,Patty Smyth,5,57,1987-02-28
2304,Men At Large,1,20,1993-02-20
2305,Sunscreem,1,19,1993-02-27
2306,Boy George,2,29,1987-12-26
2307,Prince Markie Dee And The Soul Convention,1,14,1993-04-03
2308,Dr. Alban,1,11,1993-04-24
2309,Bizarre Inc,1,23,1993-01-23
2310,Ugly Kid Joe,2,40,1992-04-04
2311,Freedom Williams,1,4,1993-06-05
2312,New Born,1,2,1993-06-19
2313,Tene Williams,1,7,1993-05-08
2314,Damn Yankees,5,81,1990-04-21
2315,Bobby Brown,11,206,1986-12-20
2316,Baltimora,2,42,1985-10-19
2317,Neneh Cherry,4,58,1989-04-01
2318,Prince And The New Power Generation,3,45,1992-10-10
2319,Belly,1,4,1993-05-15
2320,Wendy Moten,1,15,1993-02-20
2321,The Jeff Healey Band,2,25,1989-06-17
2322,Go West,7,104,1985-02-23
2323,Funkdoobiest,1,5,1993-04-24
2324,Positive K,1,22,1992-12-19
2325,Bobby Ross Avila,1,3,1993-05-01
2326,Snap!,3,72,1990-05-12
2327,Faith No More,3,32,1990-06-23
2328,Michael Cooper,1,9,1993-03-13
2329,Remedy,1,6,1993-03-27
2330,Wreckx-N-Effect,2,39,1992-10-03
2331,Lo-Key?,2,22,1992-11-14
2332,Bad Boys Blue,1,7,1993-03-13
2333,Dina Carroll,1,2,1993-04-17
2334,The Flavor Unit MC's,1,4,1993-04-03
2335,Sybil,3,31,1989-09-23
2336,Father M.C.,2,37,1991-01-12
2337,Sound Factory,1,17,1992-12-26
2338,Monie Love,2,7,1992-08-08
2339,Jude Cole,5,67,1990-04-14
2340,Poison,12,192,1987-03-14
2341,Apache,1,10,1993-01-30
2342,Restless Heart,2,38,1987-04-11
2343,Peter Gabriel,8,135,1977-04-30
2344,Genesis,22,341,1977-03-12
2345,Martha Wash,1,2,1993-03-13
2346,Alpha Team,1,8,1993-01-30
2347,Dan Baird,1,16,1992-12-05
2348,The S.O.U.L. S.Y.S.T.E.M.,1,16,1992-11-28
2349,Cathy Dennis,6,90,1990-10-27
2350,Mick Jagger,6,56,1985-02-09
2351,Debbie Gibson,11,168,1987-05-09
2352,AB Logic,2,31,1992-08-01
2353,Extreme,4,50,1991-03-23
2354,N2Deep,2,33,1992-07-11
2355,Mad Cobra,1,19,1992-10-17
2356,The Heights,1,20,1992-10-03
2357,Trey Lorenz,1,20,1992-10-03
2358,Classic Example,1,14,1992-11-14
2359,Shakespear's Sister,2,32,1992-07-04
2360,Goddess,1,10,1992-12-12
2361,Bad Company,17,182,1974-08-17
2362,Chuckii Booker,2,26,1989-07-08
2363,Saigon Kick,1,22,1992-09-05
2364,The Soup Dragons,3,29,1990-11-17
2365,Smart E's,1,16,1992-10-10
2366,Megadeth,1,15,1992-10-17
2367,George LaMond,4,57,1990-05-12
2368,Al B. Sure!,5,78,1988-04-09
2369,Home Team,1,2,1992-12-26
