,artist,num_songs,num_weeks_on_charts,earliest_date
155,King Von,1,8,2020-11-21
156,Shawn Mendes,10,220,2014-07-12
157,Matt Stell,2,32,2019-08-17
158,Mariah Carey,32,621,1990-06-02
159,Brenda Lee,48,444,1959-12-21
160,Bobby Helms,3,43,1958-08-18
161,Burl Ives,9,79,1961-12-18
162,Andy Williams,39,327,1958-09-01
163,Chuck Berry,21,159,1958-08-04
164,Jose Feliciano,11,61,1968-07-27
165,Dean Martin,27,211,1958-08-04
166,Nat King Cole,30,207,1958-08-04
167,Kelly Clarkson,24,507,2002-09-21
168,Playboi Carti,5,24,2017-05-20
169,Wham!,7,119,1984-09-08
170,The Ronettes,6,61,1963-08-31
171,Gene Autry,2,22,2018-12-15
172,Darlene Love,5,34,1963-04-06
173,Bing Crosby,4,26,1958-12-22
174,Perry Como,21,166,1958-08-04
175,Michael Buble,10,96,2005-05-21
176,Paul McCartney,16,144,1971-03-06
177,Thurl Ravenscroft,1,2,2020-01-04
178,Elvis Presley,50,495,1958-11-03
179,Donny Hathaway,5,29,1970-01-17
180,Eagles,21,290,1972-06-03
181,Jackson 5,18,213,1969-11-15
182,The Beach Boys,54,531,1962-02-17
183,Eminem,42,349,1999-02-27
184,Carrie Underwood,33,541,2005-07-02
185,Kid Cudi,13,41,2009-01-31
186,Trey Lewis,1,2,2020-12-12
187,Conan Gray,1,15,2020-08-29
188,Juice WRLD,26,194,2018-05-26
189,Saweetie,2,39,2019-07-13
190,Future,42,184,2012-05-05
191,SAINt JHN,1,34,2020-04-04
192,Michael Jackson,41,611,1971-10-30
193,Trippie Redd,9,17,2018-08-25
194,Fleetwood Mac,26,355,1970-01-31
195,Little Big Town,10,164,2005-10-29
196,Larray,1,1,2020-10-31
197,Tim McGraw,46,731,1994-03-05
198,Clairo,1,1,2020-10-24
199,Why Don't We,1,1,2020-10-17
200,BLACKPINK,4,8,2018-06-30
201,Bryson Tiller,10,90,2015-10-17
202,Maroon 5,23,511,2003-08-23
203,Zayn,5,30,2016-02-20
204,Tory Lanez,5,50,2015-11-07
205,Lil Mosey,3,44,2018-09-29
206,YFN Lucci,1,1,2020-10-03
207,Chase Rice,5,60,2013-10-26
208,Maren Morris,6,134,2016-02-13
209,Andrew Jannakos,1,1,2020-09-26
210,Ashley McBryde,1,15,2020-06-20
211,WhoHeem,1,3,2020-09-12
212,StaySolidRocky,1,20,2020-05-09
213,Big Sean,9,67,2012-12-29
214,Keith Urban,37,673,2000-07-15
215,Chris Janson,5,69,2015-06-13
216,Travis Scott,22,213,2015-09-26
217,Mulatto,1,3,2020-08-22
218,"Black Eyed Peas, Ozuna + J.Rey Soul",1,11,2020-06-20
219,LOCASH,3,40,2015-11-14
220,Trevor Daniel,1,38,2019-11-30
221,Logic,11,18,2016-07-23
222,Surfaces,1,21,2020-03-14
223,Summer Walker,6,25,2019-09-07
224,Jhene Aiko,3,49,2014-02-22
225,Travis Denning,1,15,2020-04-11
226,blackbear,2,67,2017-05-13
227,Beyonce,34,492,2003-11-15
228,Katy Perry,22,394,2008-05-24
229,Breland,1,2,2020-07-04
230,A Boogie Wit da Hoodie,10,56,2016-11-05
231,J.I The Prince Of N.Y,1,2,2020-06-27
232,Regard,1,10,2020-04-25
233,Tones And I,1,36,2019-10-19
234,Lil Uzi Vert,37,201,2016-07-02
235,Brantley Gilbert,9,130,2011-07-09
236,Lady Gaga,26,330,2009-01-03
237,Gunna,12,14,2019-02-16
238,Agust D,1,1,2020-06-06
239,Kehlani,4,19,2016-08-27
240,Ingrid Andress,1,20,2020-01-11
241,Arizona Zervas,1,26,2019-11-16
242,Alicia Keys,16,313,2001-06-16
243,Lizzo,3,76,2019-05-18
244,Riley Green,2,20,2019-03-02
245,BrockHampton,1,9,2020-01-18
246,Jimmie Allen,2,30,2018-09-29
247,SHAED,1,39,2019-06-15
248,Joji,3,15,2019-03-30
249,Anuel AA,1,1,2020-02-22
250,Niall Horan,5,79,2016-10-15
251,Baby Keem,1,3,2020-01-18
252,Lil Wayne,33,158,2002-07-06
253,Mac Miller,20,39,2011-06-11
254,Ali Gatie,2,16,2019-06-29
255,Khalid,9,179,2017-01-28
256,Lady Antebellum,19,374,2008-03-15
257,John Legend,8,121,2004-10-02
258,Lil Tjay,2,15,2019-08-24
259,Ant Saunders,1,8,2019-11-23
260,Frank Sinatra,41,275,1958-10-27
261,Panic! At The Disco,14,156,2006-03-18
262,24kGoldn,1,1,2019-11-23
263,Brantley Gilbert + Lindsay Ell,1,14,2019-08-17
264,21 Savage,13,73,2017-01-07
265,Frank Ocean,10,40,2011-07-23
266,Blanco Brown,1,20,2019-06-22
267,Normani,1,10,2019-08-31
268,Sarah Jeffery,1,8,2019-08-17
269,Runaway June,1,5,2019-08-24
270,5 Seconds Of Summer,13,124,2014-04-19
271,Lana Del Rey,8,33,2012-01-28
272,A$AP Rocky,3,5,2013-02-02
273,Chris Young,14,242,2009-08-29
274,Ambjaay,1,3,2019-08-17
275,Eli Young Band,6,114,2009-04-04
276,YK Osiris,1,25,2019-03-02
277,Tool,2,21,2001-06-23
278,Brett Eldredge,8,137,2013-06-08
279,Calboy,1,27,2018-12-29
280,Avicii,6,100,2011-12-03
281,Ozuna,2,2,2018-09-08
282,YNW Melly,1,20,2019-02-02
283,Blueface,1,20,2019-01-26
284,Mabel,1,10,2019-04-06
285,Lil Dicky,1,6,2019-05-04
286,Maluma,2,21,2017-06-03
287,Bazzi,2,37,2018-02-03
288,Dean Lewis,1,29,2018-11-10
289,Pinkfong,1,20,2019-01-12
290,Ella Mai,3,78,2018-04-14
291,Lauren Daigle,2,45,2018-07-28
292,Ski Mask The Slump God,2,12,2018-12-15
293,ScHoolboy Q + Travis Scott,1,1,2019-05-11
294,ScHoolboy Q,2,15,2014-02-08
295,YG,2,12,2010-09-11
296,Alec Benjamin + Alessia Cara,1,9,2019-01-26
297,FLETCHER,1,6,2019-03-23
298,Aventura,1,1,2019-04-20
299,Rich The Kid,2,25,2018-02-24
300,Lil Skies,2,8,2018-05-26
301,Chris Brown,28,427,2005-08-27
302,Kodak Black,10,64,2017-01-14
303,Bebe Rexha,3,32,2017-01-21
304,Iggy Azalea,3,29,2014-05-17
305,Flipp Dinero,1,25,2018-09-29
306,Sheck Wes,1,28,2018-09-08
307,Midland,2,29,2017-05-27
308,Offset,2,4,2019-03-02
309,Lukas Graham,3,57,2016-02-06
310,John Mayer,18,239,2002-06-01
311,Jacquees,2,25,2017-08-26
312,Zara Larsson,3,17,2016-07-30
313,Kacey Musgraves,3,17,2012-12-29
314,Marshmello,1,11,2016-11-05
315,XXXTENTACION,23,162,2017-02-25
316,Lil Pump,4,38,2017-09-30
317,Kip Moore,6,81,2012-02-25
318,Mitchell Tenpenny,1,21,2018-08-11
319,lovelytheband,1,22,2018-07-28
320,Yella Beezy,1,20,2018-08-11
321,Lauv,1,41,2018-02-24
322,Queen,22,308,1975-02-08
323,Quavo,3,17,2018-08-25
324,Bryce Vine,1,14,2018-08-25
325,TakeOff,2,3,2018-11-10
326,Weezer,6,115,1994-10-01
327,Queen Naija,2,22,2018-04-14
328,Charlie Puth,4,95,2015-12-19
329,Bradley Cooper,1,1,2018-10-20
330,Avril Lavigne,19,268,2002-06-01
331,The Carters,5,20,2018-06-30
332,Childish Gambino,7,91,2013-12-21
333,Ciara,7,82,2005-10-29
334,Backstreet Boys,17,299,1995-10-28
335,Becky G + Natti Natasha,1,12,2018-06-16
336,Morgan Evans,1,8,2018-07-14
337,Alessia Cara,5,124,2015-08-22
338,Jason Mraz,6,154,2003-05-03
339,Dennis Lloyd,1,4,2018-08-04
340,Foster The People,3,69,2011-05-14
341,Chance The Rapper,1,1,2018-08-04
342,Bad Wolves,1,18,2018-03-24
343,Iggy Azalea Feauring Tyga,1,1,2018-07-21
344,Famous Dex,1,15,2018-04-07
345,Daddy Yankee,5,78,2004-11-13
346,KIDS SEE GHOSTS,6,7,2018-06-23
347,Pusha T,3,3,2018-06-09
348,Kris Wu,1,1,2018-06-02
349,Meghan Trainor,7,153,2014-07-26
350,Tank,3,59,2001-03-17
351,Mason Ramsey,1,2,2018-05-12
352,Portugal. The Man,1,44,2017-07-08
353,High Valley,1,8,2018-03-10
354,Derez De'Shon,1,11,2018-02-17
355,Devin Dawson,1,19,2017-11-18
356,Alice Merton,1,3,2018-04-07
357,Lil Xan,1,19,2017-12-02
358,Blac Youngsta,1,5,2018-03-10
359,YBN Nahmir,1,16,2017-11-25
360,The Chainsmokers,6,41,2014-03-15
361,Janelle Monae,1,1,2018-03-10
362,Plies,1,5,2018-02-03
363,WALK THE MOON,2,61,2014-11-22
364,Justin Timberlake,17,337,2002-09-07
365,Kendrick Lamar,21,175,2012-08-18
366,Easton Corbin,7,107,2010-01-23
367,LANCO,1,20,2017-09-23
368,Loren Allred,1,4,2018-01-13
369,Troye Sivan,3,20,2014-08-09
370,Bruno Mars,14,380,2010-08-07
371,Yo Gotti,3,8,2009-11-28
372,Tay-K,1,19,2017-08-26
373,Huncho Jack,5,5,2018-01-06
374,Imagine Dragons + Khalid,1,1,2018-01-06
375,Garth Brooks,7,82,1998-12-05
376,Kesha,2,22,2017-07-29
377,Chloe Kohanski,1,1,2017-12-16
378,Lil Peep,1,1,2017-12-09
379,G-Eazy,2,2,2015-12-26
380,Justin Bieber + BloodPop,1,10,2017-09-09
381,Liam Payne,1,1,2017-11-11
382,James Arthur,1,52,2016-11-12
383,Billy Currington,16,285,2003-08-23
384,Bhad Bhabie,2,4,2017-09-23
385,Brothers Osborne,2,36,2015-10-24
386,The Revivalists,1,9,2017-08-19
387,Hailee Steinfeld,2,32,2015-08-29
388,DeJ Loaf,2,21,2014-11-08
389,Rae Sremmurd,7,120,2014-08-16
390,Tee Grizzley,1,20,2017-04-22
391,Descendants 2 Cast,1,4,2017-08-12
392,Nicky Jam,2,34,2016-06-11
393,Julia Michaels,1,29,2017-02-11
394,Linkin Park,19,335,2001-02-10
395,Romeo Santos,4,10,2011-06-25
396,JAY-Z,28,297,1996-09-14
397,Russ,2,27,2016-11-12
398,Trey Songz,15,241,2005-12-03
399,Josh Turner,10,160,2003-12-13
400,Rag'n'Bone Man,1,7,2017-04-22
401,Shakira,10,119,2001-10-27
402,Lauren Duski,3,3,2017-06-03
403,Chris Blue,1,1,2017-06-10
404,Rihanna,27,566,2005-06-11
405,Zayn / Taylor Swift,1,23,2016-12-31
406,6LACK,1,8,2017-04-01
407,Lord Huron,1,4,2017-05-06
408,Marian Hill,1,17,2017-02-04
409,Starley,1,18,2016-12-03
410,Dwayne Johnson,1,13,2016-12-17
411,Auli'i Cravalho,1,20,2016-12-17
412,Paramore,11,147,2007-07-21
413,Train,13,308,1999-10-09
414,Lauren Alaina,2,14,2011-06-11
415,Amine,1,28,2016-09-24
416,Brad Paisley,33,559,1999-06-19
417,PnB Rock,1,19,2016-11-26
418,Jon Bellion,1,22,2016-10-29
419,DJ Suede The Remix God,1,3,2017-03-04
420,PARTYNEXTDOOR,1,7,2017-02-04
421,Hey Violet,1,5,2017-02-11
422,Calum Scott,1,2,2017-02-11
423,Sia,4,80,2014-05-24
424,KALEO,1,8,2017-01-14
425,Fitz And The Tantrums,2,32,2014-03-15
426,Sage The Gemini,2,21,2013-08-03
427,DJ Luke Nasty,2,18,2016-03-05
428,Granger Smith,2,19,2015-12-26
429,Andy Grammer,5,89,2011-06-18
430,Ugly God,1,4,2017-01-21
431,Young M.A,1,20,2016-09-17
432,X Ambassadors,2,69,2015-05-02
433,Pentatonix,4,22,2013-12-21
434,George Michael,15,232,1986-04-26
435,Olivia O'Brien,1,1,2017-01-14
436,Lil Yachty,1,20,2016-08-13
437,Sundance Head,2,2,2016-12-31
438,Desiigner,2,60,2016-03-12
439,Fifth Harmony,4,44,2013-08-03
440,Kiiara,1,27,2016-06-11
441,Calvin Harris,3,62,2012-02-25
442,PIKOTARO,1,4,2016-10-29
443,Leonard Cohen,1,1,2016-12-03
444,A Tribe Called Quest,5,50,1992-06-06
445,Little Mix,3,20,2013-04-20
446,Daya,2,51,2015-10-03
447,Dae Dae,1,17,2016-08-06
448,Tove Lo,3,74,2014-06-14
449,Kungs vs Cookin' On 3 Burners,1,14,2016-08-13
450,Tucker Beathard,1,10,2016-09-03
451,William Michael Morgan,1,9,2016-09-10
452,OneRepublic,11,276,2007-12-29
453,Solange,1,2,2016-10-22
454,CL,1,1,2016-10-22
455,Mike Posner,3,86,2010-05-15
456,Wale,1,15,2016-07-02
457,Kent Jones,1,20,2016-05-21
458,DNCE,2,56,2015-11-07
459,MadeinTYO,1,20,2016-04-16
460,Jacob Sartorius,2,3,2016-07-02
461,Galantis,1,5,2016-07-30
462,James Bay,1,34,2016-01-09
463,Fetty Wap,5,116,2015-02-07
464,Flo Rida,7,155,2009-02-14
465,Ben Rector,1,5,2016-07-23
466,Ruth B,1,22,2016-03-12
467,Fergie,6,142,2006-08-05
468,David Nail,3,42,2009-10-10
469,The Lumineers,3,89,2012-06-23
470,Blink-182,7,77,1999-07-17
471,Jeremih,3,67,2009-04-25
472,Disturbed,6,60,2002-09-28
473,"Kanye West, Gucci Mane, Big Sean, 2 Chainz, Travi$ Scott, Yo Gotti, Quavo, Desiigner",1,3,2016-07-02
474,Red Hot Chili Peppers,14,269,1991-12-21
475,Broadway For Orlando,1,1,2016-07-09
476,Alan Walker,1,8,2016-04-30
477,Young Greatness,1,9,2016-04-16
478,Ghost Town DJ's,1,36,1996-07-06
479,Adam Wakefield,2,2,2016-06-04
480,Hannah Huston,1,1,2016-06-11
481,Alisan Porter,1,1,2016-06-11
482,Jennifer Lopez,12,142,1999-05-15
483,Prince And The Revolution,9,135,1984-08-04
484,Prince,27,361,1978-11-04
485,Chase Bryant,2,19,2015-01-17
486,Rachel Platten,2,51,2015-05-02
487,Ellie Goulding,8,183,2011-08-20
488,Gwen Stefani,10,153,2004-10-16
489,Elle King,1,38,2015-07-25
490,Randy Houser,7,107,2008-12-06
491,2 Chainz,2,31,2012-12-01
492,One Direction,29,279,2012-03-03
493,Empire Of The Sun,1,5,2016-02-06
494,Tori Kelly,3,32,2015-03-14
495,Fall Out Boy,18,282,2005-07-02
496,DLOW,1,15,2015-11-28
497,Dawin,1,11,2015-12-26
498,Silento,1,51,2015-03-14
499,Nelly,14,173,2000-04-29
500,Jana Kramer,4,41,2011-02-26
501,iLoveMemphis,2,21,2015-09-05
502,J Balvin,1,15,2015-09-26
503,David Bowie,25,272,1972-04-15
504,Cam,1,25,2015-08-01
505,Lindsey Stirling,1,1,2016-01-09
506,Jordan Smith,6,7,2015-11-28
507,OMI,1,35,2015-05-09
508,Emily Ann Roberts,1,1,2016-01-02
509,Parmalee,3,38,2013-10-05
510,Barrett Baber,1,1,2015-12-19
511,Madi Davis,1,1,2015-12-19
512,K Camp,1,15,2015-08-22
513,Jess Glynne,1,6,2015-10-03
514,Nick Jonas,4,65,2010-09-25
515,Rich Homie Quan,2,47,2013-08-03
516,The 1975,2,7,2014-02-08
517,Andrew McMahon In The Wilderness,1,3,2015-09-12
518,Adam Lambert,10,78,2009-06-06
519,Frankie Ballard,3,55,2013-12-21
520,T-Wayne,1,20,2015-05-02
521,N.W.A,1,2,2015-09-05
522,Eazy-E,3,30,1993-11-13
523,Dove Cameron,1,2,2015-08-22
524,Canaan Smith,1,20,2015-04-11
525,Bea Miller,1,1,2015-08-15
526,Echosmith,2,43,2014-07-26
527,Carly Rae Jepsen,3,71,2012-03-10
528,Steven Tyler,2,5,2011-05-28
529,A Thousand Horses,1,20,2015-03-14
530,George Ezra,1,23,2015-02-14
531,Miguel,5,93,2011-03-26
532,Jessie J,3,39,2011-10-29
533,Hilary Duff,7,51,2003-08-16
534,Chedda Da Connect,1,4,2015-05-16
535,How I Became The Bomb,1,1,2015-06-20
536,Sawyer Fredericks,7,7,2015-05-02
537,Hozier,1,41,2014-08-30
538,Meghan Linsey,1,1,2015-06-06
539,Eric Paslay,3,42,2013-11-02
540,Tyler Farr,3,58,2013-06-15
541,Sheppard,1,21,2014-12-20
542,Nate Ruess,1,4,2015-05-09
543,Nick Fradiani,1,1,2015-05-30
544,Vance Joy,1,44,2014-07-12
545,Koryn Hawthorne,1,1,2015-05-09
546,LunchMoney Lewis,1,6,2015-03-28
547,Kimberly Nichole,1,1,2015-05-02
548,Who Is Fancy,1,1,2015-04-25
549,O.T. Genasis,1,20,2014-12-06
550,Breaking Benjamin,7,75,2004-09-11
551,Ella Henderson,1,20,2014-11-15
552,Kid Rock,4,46,1999-10-30
553,Florence + The Machine,4,43,2010-09-25
554,Annie Lennox,6,80,1992-05-16
555,"Missy ""Misdemeanor"" Elliott",5,83,1999-05-15
556,Mr. Probz,1,25,2014-09-06
557,RaeLynn,1,16,2014-11-08
558,MAGIC!,1,41,2014-05-10
559,Becky G,2,23,2014-06-21
560,Bobby Shmurda,2,28,2014-08-16
561,August Alsina,1,18,2014-10-04
562,Milky Chance,1,25,2014-08-09
563,Sophia Grace,1,1,2015-01-24
564,I Prevail,1,1,2015-01-24
565,Colbie Caillat,11,185,2007-06-02
566,Charli XCX,2,28,2014-06-21
567,Matt McAndrew,4,4,2014-12-06
568,Craig Wayne Boyd,3,3,2014-12-13
569,Chris Jamison,2,2,2014-12-27
570,Damien,1,1,2015-01-03
571,Taylor John Williams,1,1,2014-12-20
572,Pharrell Williams,2,62,2014-01-18
573,Band Aid 30,1,1,2014-12-06
574,The Script,5,107,2009-12-19
575,Mary Lambert,1,10,2014-09-20
576,OK Go,2,21,2006-09-16
577,Kiesza,1,14,2014-08-02
578,Glen Campbell,32,308,1961-10-30
579,The Swon Brothers,4,13,2013-06-29
580,alt-J,1,1,2014-10-11
